epoch,mark,Desired Torque (L),Measured Torque (L),Desired Torque (R),Measured Torque (R),Toe FSR (L),Stance Phase (L),Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds)
1769027950.111287,0,0.000000,0.000000,0.000000,-2.240000,16.920000,0.000000,0.000000,0.800000,8.000000,32.200000
1769027950.122339,0,0.000000,0.000000,0.000000,-1.870000,17.340000,0.000000,0.000000,0.760000,8.000000,32.220000
1769027950.144608,0,0.000000,0.000000,0.000000,-1.470000,17.800000,0.000000,0.000000,0.740000,8.000000,32.240000
1769027950.158614,0,0.000000,0.000000,0.000000,-1.120000,18.180000,0.000000,0.000000,0.690000,8.000000,32.250000
1769027950.170028,0,0.000000,0.000000,0.000000,-0.870000,18.550000,0.000000,0.000000,0.640000,8.000000,32.270000
1769027950.185768,0,0.000000,0.000000,0.000000,-0.680000,18.870000,0.000000,0.000000,0.610000,8.000000,32.270000
1769027950.217082,0,0.000000,0.000000,0.000000,-0.500000,19.140000,0.000000,0.000000,0.560000,8.000000,32.290000
1769027950.235725,0,0.000000,0.000000,0.000000,-0.460000,19.370000,0.000000,0.000000,0.510000,8.000000,32.310000
1769027950.235725,0,0.000000,0.000000,0.000000,-0.120000,19.530000,0.000000,0.000000,0.460000,8.000000,32.330000
1769027950.264655,0,0.000000,0.000000,0.000000,0.000000,19.530000,0.000000,0.000000,0.430000,8.000000,32.340000
1769027950.264655,0,0.000000,0.000000,0.000000,-0.100000,19.590000,0.000000,0.000000,0.380000,8.000000,32.360000
1769027950.266661,0,0.000000,0.000000,0.000000,-0.100000,19.470000,0.000000,0.000000,0.370000,8.000000,32.360000
1769027950.280372,0,0.000000,0.000000,0.000000,0.070000,19.630000,0.000000,0.000000,0.370000,8.000000,32.380000
1769027950.312066,0,0.000000,0.000000,0.000000,-0.100000,19.590000,0.000000,0.000000,0.370000,8.000000,32.400000
1769027950.327703,0,0.000000,0.000000,0.000000,-0.070000,19.700000,0.000000,0.000000,0.370000,8.000000,32.410000
1769027950.348272,0,0.000000,0.000000,0.000000,0.000000,19.630000,0.000000,0.000000,0.370000,8.000000,32.430000
1769027950.361398,0,0.000000,0.000000,0.000000,-0.010000,19.750000,0.000000,0.000000,0.370000,8.000000,32.450000
1769027950.375986,0,0.000000,0.000000,0.000000,-0.090000,19.630000,0.000000,0.000000,0.370000,8.000000,32.470000
1769027950.438575,0,0.000000,0.000000,0.000000,-0.100000,19.700000,0.000000,0.000000,0.370000,8.000000,32.470000
1769027950.470335,0,0.000000,0.000000,0.000000,0.000000,19.530000,0.000000,0.000000,0.370000,8.000000,32.500000
1769027950.492218,0,0.000000,0.000000,0.000000,-0.100000,19.590000,0.000000,0.000000,0.370000,8.000000,32.500000
1769027950.501272,0,0.000000,0.000000,0.000000,0.020000,19.590000,0.000000,0.000000,0.380000,8.000000,32.520000
1769027950.511039,0,0.000000,0.000000,0.000000,0.000000,19.530000,0.000000,0.000000,0.430000,8.000000,32.540000
1769027950.522887,0,0.000000,0.000000,0.000000,0.000000,19.590000,0.000000,0.000000,0.510000,8.000000,32.590000
1769027950.535749,0,0.000000,0.000000,0.000000,0.050000,19.700000,0.000000,0.000000,0.540000,8.000000,32.610000
1769027950.548857,0,0.000000,0.000000,0.000000,-0.020000,19.800000,0.000000,0.000000,0.560000,8.000000,32.630000
1769027950.564530,0,0.000000,0.000000,0.000000,0.000000,19.700000,0.000000,0.000000,0.570000,8.000000,32.650000
1769027950.571550,0,0.000000,0.000000,0.000000,0.000000,19.700000,0.000000,0.000000,0.580000,8.000000,32.650000
1769027950.592222,0,0.000000,0.000000,0.000000,0.010000,19.700000,0.000000,0.000000,0.580000,8.000000,32.680000
1769027950.601439,0,0.000000,0.000000,0.000000,0.000000,19.750000,0.000000,0.000000,0.580000,8.000000,32.680000
1769027950.613655,0,0.000000,0.000000,0.000000,0.000000,19.630000,0.000000,0.000000,0.570000,8.000000,32.700000
1769027950.675083,0,0.000000,0.000000,0.000000,0.050000,19.800000,0.000000,0.000000,0.560000,8.000000,32.720000
1769027950.706817,0,0.000000,0.000000,0.000000,0.070000,19.700000,0.000000,0.000000,0.560000,8.000000,32.740000
1769027950.706817,0,0.000000,0.000000,0.000000,0.070000,19.630000,0.000000,0.000000,0.540000,8.000000,32.750000
1769027950.706817,0,0.000000,0.000000,0.000000,0.020000,19.470000,0.000000,0.000000,0.540000,8.000000,32.770000
1769027950.717119,0,0.000000,0.000000,0.000000,0.020000,19.860000,0.000000,0.000000,0.560000,8.000000,32.810000
1769027950.738556,0,0.000000,0.000000,0.000000,0.100000,20.030000,0.000000,0.000000,0.570000,8.000000,32.830000
1769027950.754444,0,0.000000,0.000000,0.000000,0.850000,21.640000,0.000000,0.000000,0.570000,8.000000,32.840000
1769027950.774693,0,0.000000,0.000000,0.000000,0.540000,20.130000,0.000000,0.000000,0.560000,8.000000,32.860000
1769027950.783329,0,0.000000,0.000000,0.000000,1.170000,21.360000,0.000000,0.000000,0.510000,8.000000,32.880000
1769027950.801637,0,0.000000,0.000000,0.000000,1.110000,21.250000,0.000000,0.000000,0.470000,8.000000,32.880000
1769027950.817330,0,0.000000,0.000000,0.000000,1.270000,21.360000,0.000000,0.000000,0.440000,8.000000,32.900000
