epoch,mark,Desired Torque,Measured Torque,Toe FSR,Heel FSR,PID Signal,Ankle Angle,Power,Stance Phase,Battery Level (Volts),Exoskeleton time (seconds)
1774478846.804590,0,0.000000,0.200000,0.230000,0.000000,-53.430000,48.900000,4.760000,0.000000,24.200000,45.330000
1774478846.804590,0,0.000000,0.180000,0.210000,0.000000,-107.180000,49.330000,4.760000,0.000000,24.200000,45.340000
1774478846.826203,0,0.000000,0.120000,0.200000,0.000000,-51.790000,50.000000,4.780000,0.000000,24.200000,45.360000
1774478846.835928,0,0.000000,0.010000,0.180000,0.000000,71.680000,50.740000,4.760000,0.000000,24.200000,45.380000
1774478846.867270,0,0.000000,0.110000,0.120000,0.000000,-102.130000,51.430000,4.780000,0.000000,24.200000,45.380000
1774478846.882957,0,0.000000,-0.030000,0.050000,0.000000,24.980000,52.150000,4.650000,0.000000,24.200000,45.400000
1774478846.882957,0,0.000000,0.030000,0.000000,0.000000,-12.140000,52.950000,4.650000,0.000000,24.200000,45.430000
1774478846.898593,0,0.000000,0.070000,0.000000,0.000000,-90.110000,53.520000,4.630000,0.000000,24.200000,45.430000
1774478846.914333,0,0.000000,-0.050000,0.000000,0.000000,9.680000,54.040000,4.510000,0.000000,24.210000,45.450000
1774478846.945700,0,0.000000,0.030000,0.000000,0.000000,34.840000,54.610000,4.460000,0.000000,24.200000,45.470000
1774478846.961332,0,0.000000,0.000000,0.000000,0.000000,3.010000,55.090000,4.360000,0.000000,24.200000,45.490000
1774478846.961332,0,0.000000,-0.010000,0.000000,0.000000,37.430000,55.380000,4.260000,0.000000,24.200000,45.500000
1774478846.977096,0,0.000000,-0.020000,0.000000,0.000000,29.140000,55.700000,4.170000,0.000000,24.200000,45.520000
1774478846.992826,0,0.000000,0.000000,0.000000,0.000000,-1.380000,55.860000,4.090000,0.000000,24.200000,45.520000
1774478847.008898,0,0.000000,-0.070000,0.000000,0.000000,52.310000,56.020000,4.010000,0.000000,24.200000,45.540000
1774478847.026623,0,0.000000,-0.050000,0.000000,0.000000,58.040000,56.040000,3.930000,0.000000,24.210000,45.560000
1774478847.040252,0,0.000000,-0.110000,0.000000,0.000000,66.120000,55.860000,3.880000,0.000000,24.200000,45.580000
1774478847.056583,0,0.000000,-0.070000,0.000000,0.000000,49.860000,55.740000,3.840000,0.000000,24.200000,45.590000
1774478847.071881,0,0.000000,-0.120000,0.000000,0.000000,62.540000,55.450000,3.800000,0.000000,24.200000,45.610000
1774478847.071881,0,0.000000,-0.180000,0.000000,0.000000,115.440000,55.310000,3.820000,0.000000,24.200000,45.610000
1774478847.087772,0,0.000000,-0.100000,0.000000,0.000000,80.190000,54.700000,3.750000,0.000000,24.200000,45.630000
1774478847.103702,0,0.000000,-0.050000,0.000000,0.000000,13.640000,54.150000,3.750000,0.000000,24.200000,45.650000
1774478847.135632,0,0.000000,-0.070000,0.000000,0.000000,4.880000,53.520000,3.780000,0.000000,24.200000,45.660000
1774478847.151711,0,0.000000,0.010000,0.000000,0.000000,-28.790000,52.910000,3.740000,0.000000,24.200000,45.680000
1774478847.151711,0,0.000000,-0.020000,0.000000,0.000000,31.310000,52.540000,3.690000,0.000000,24.200000,45.700000
1774478847.167371,0,0.000000,0.030000,0.000000,0.000000,-16.170000,52.400000,3.600000,0.000000,24.210000,45.700000
1774478847.183060,0,0.000000,0.020000,0.000000,0.000000,-65.980000,52.240000,3.540000,0.000000,24.210000,45.720000
1774478847.198905,0,0.000000,0.030000,0.000000,0.000000,-10.520000,52.290000,3.500000,0.000000,24.200000,45.740000
1774478847.226769,0,0.000000,0.090000,0.000000,0.000000,-76.510000,52.410000,3.480000,0.000000,24.200000,45.750000
1774478847.246572,0,0.000000,0.100000,0.000000,0.400000,-68.680000,52.680000,3.490000,0.000000,24.200000,45.770000
1774478847.246572,0,0.000000,0.100000,0.000000,0.000000,-68.690000,52.910000,3.510000,0.000000,24.200000,45.790000
1774478847.262367,0,0.000000,0.050000,0.000000,0.000000,1.530000,53.610000,3.530000,0.000000,24.200000,45.790000
1774478847.278182,0,0.000000,0.070000,0.000000,0.000000,-37.650000,54.250000,3.500000,0.000000,24.200000,45.810000
1774478847.307958,0,0.000000,0.070000,0.000000,0.000000,-83.180000,54.750000,3.500000,0.000000,24.200000,45.830000
1774478847.339897,0,0.000000,-0.070000,0.000000,0.000000,-5.780000,54.910000,3.430000,0.000000,24.210000,45.840000
1774478847.339897,0,0.000000,0.010000,0.000000,0.000000,-24.600000,56.000000,3.410000,0.000000,24.200000,45.860000
1774478847.354577,0,0.000000,-0.100000,0.000000,0.000000,33.200000,56.380000,3.320000,0.000000,24.210000,45.880000
1774478847.371255,0,0.000000,-0.050000,0.000000,0.000000,15.530000,56.720000,3.280000,0.000000,24.200000,45.880000
1774478847.388078,0,0.000000,-0.150000,0.000000,0.000000,93.580000,56.840000,3.230000,0.000000,24.210000,45.900000
1774478847.388078,0,0.000000,-0.100000,0.000000,0.000000,71.870000,56.840000,3.210000,0.000000,24.200000,45.910000
1774478847.404921,0,0.000000,-0.110000,0.000000,0.000000,20.230000,56.540000,3.210000,0.000000,24.200000,45.930000
1774478847.427069,0,0.000000,-0.110000,0.000000,0.000000,64.330000,56.330000,3.230000,0.000000,24.200000,45.950000
1774478847.438030,0,0.000000,-0.070000,0.000000,0.000000,41.310000,55.910000,3.250000,0.000000,24.200000,45.970000
1774478847.456523,0,0.000000,0.000000,0.000000,1.000000,-42.500000,55.700000,3.220000,0.000000,24.210000,45.990000
1774478847.481175,0,0.000000,-0.100000,0.000000,0.200000,29.700000,55.240000,3.260000,0.000000,24.200000,46.000000
1774478847.482175,0,0.000000,-0.090000,0.000000,0.000000,38.340000,54.860000,3.270000,0.000000,24.200000,46.020000
1774478847.499175,0,0.000000,-0.070000,0.000000,0.000000,2.590000,54.520000,3.300000,0.000000,24.200000,46.020000
1774478847.505145,0,0.000000,-0.070000,0.000000,0.000000,-47.180000,54.130000,3.320000,0.000000,24.200000,46.040000
1774478847.527125,0,0.000000,-0.120000,0.000000,0.000000,105.060000,53.790000,3.300000,0.000000,24.200000,46.060000
1774478847.537108,0,0.000000,0.010000,0.000000,0.000000,-23.880000,53.400000,3.250000,0.000000,24.200000,46.080000
1774478847.561789,0,0.000000,-0.050000,0.000000,0.000000,16.780000,53.130000,3.220000,0.000000,24.200000,46.090000
1774478847.569072,0,0.000000,0.000000,0.000000,0.200000,-5.730000,52.860000,3.200000,0.000000,24.200000,46.110000
1774478847.584749,0,0.000000,0.000000,0.000000,0.000000,-37.650000,52.790000,3.170000,0.000000,24.200000,46.110000
1774478847.600699,0,0.000000,0.000000,0.000000,0.000000,8.350000,52.810000,3.140000,0.000000,24.210000,46.130000
1774478847.627224,0,0.000000,0.030000,0.000000,0.000000,-16.480000,52.750000,3.090000,0.000000,24.210000,46.150000
1774478847.640296,0,0.000000,0.020000,0.000000,0.000000,-20.210000,52.910000,3.070000,0.000000,24.200000,46.160000
1774478847.659135,0,0.000000,0.030000,0.000000,0.000000,-15.970000,53.040000,3.050000,0.000000,24.200000,46.180000
1774478847.671707,0,0.000000,0.000000,0.000000,0.000000,2.270000,53.200000,3.020000,0.000000,24.200000,46.200000
1774478847.688374,0,0.000000,0.000000,0.000000,0.000000,14.360000,53.180000,3.010000,0.000000,24.200000,46.200000
1774478847.688374,0,0.000000,-0.020000,0.000000,0.000000,31.620000,53.200000,2.980000,0.000000,24.200000,46.220000
1774478847.705518,0,0.000000,-0.020000,0.000000,0.000000,28.150000,53.240000,2.950000,0.000000,24.210000,46.240000
