epoch,mark,Unused,Ankle Angle,Unused,Measured Torque (R),Unused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeletottery Level (Volts)
1772555123.667111,0,0.000000,31.230000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,48.040000
1772555123.683160,0,0.000000,30.480000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070000,8.000000,48.060000
1772555123.683160,0,0.000000,29.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,48.060000
1772555123.683160,0,0.000000,28.680000,0.000000,-0.140000,0.000000,0.000000,0.000000,0.150000,8.000000,48.090000
1772555123.699016,0,0.000000,27.930000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,48.090000
1772555123.762322,0,0.000000,27.090000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,48.110000
1772555123.826335,0,0.000000,26.340000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,48.130000
1772555123.842221,0,0.000000,26.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,48.150000
1772555123.873825,0,0.000000,26.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270000,8.000000,48.150000
1772555123.889490,0,0.000000,28.040000,0.000000,0.090000,0.000000,0.000000,0.000000,0.150000,8.000000,48.200000
1772555123.889490,0,0.000000,32.310000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,48.220000
1772555123.889490,0,0.000000,32.490000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070000,8.000000,48.270000
1772555123.889490,0,0.000000,32.490000,0.000000,0.020000,0.000000,0.000000,0.000000,0.270000,8.000000,48.290000
1772555123.889490,0,0.000000,32.520000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,48.290000
1772555124.043049,0,0.000000,32.340000,0.000000,-0.050000,0.000000,0.000000,0.000000,-0.070000,8.000000,48.310000
1772555124.065193,0,0.000000,31.960000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,48.330000
1772555124.144956,0,0.000000,31.280000,0.000000,0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,48.340000
1772555124.160925,0,0.000000,30.370000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,48.360000
1772555124.160925,0,0.000000,30.950000,0.000000,0.030000,0.000000,0.000000,0.000000,0.150000,8.000000,48.410000
1772555124.176915,0,0.000000,32.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,48.490000
1772555124.192911,0,0.000000,32.470000,0.000000,0.030000,0.000000,0.000000,0.000000,0.150000,8.000000,48.500000
1772555124.208561,0,0.000000,32.360000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.270000,8.000000,48.590000
1772555124.224442,0,0.000000,32.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,48.610000
1772555124.272482,0,0.000000,31.570000,0.000000,0.020000,0.000000,0.000000,0.000000,0.020000,8.000000,48.610000
1772555124.288165,0,0.000000,31.060000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,48.630000
1772555124.288165,0,0.000000,30.800000,0.000000,0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,48.650000
1772555124.304164,0,0.000000,30.370000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,48.660000
1772555124.335488,0,0.000000,28.860000,0.000000,0.070000,0.000000,0.000000,0.000000,-0.070000,8.000000,48.700000
1772555124.351517,0,0.000000,28.220000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.020000,8.000000,48.720000
1772555124.351517,0,0.000000,27.500000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,48.740000
1772555124.367187,0,0.000000,26.890000,0.000000,0.110000,0.000000,0.000000,0.000000,0.020000,8.000000,48.750000
1772555124.382841,0,0.000000,26.570000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,48.770000
1772555124.398504,0,0.000000,26.650000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,48.790000
1772555124.398504,0,0.000000,27.180000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.020000,8.000000,48.790000
1772555124.430304,0,0.000000,27.960000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.150000,8.000000,48.810000
1772555124.430304,0,0.000000,28.920000,0.000000,0.090000,0.000000,0.000000,0.000000,0.150000,8.000000,48.830000
1772555124.445975,0,0.000000,30.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,48.840000
1772555124.461680,0,0.000000,31.300000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,48.860000
1772555124.461680,0,0.000000,32.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,48.880000
1772555124.493286,0,0.000000,32.340000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,48.880000
1772555124.508965,0,0.000000,32.400000,0.000000,-0.120000,0.000000,0.000000,0.000000,0.020000,8.000000,48.900000
1772555124.524993,0,0.000000,32.270000,0.000000,0.030000,0.000000,0.000000,0.000000,0.270000,8.000000,48.910000
1772555124.540678,0,0.000000,31.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,48.930000
1772555124.572405,0,0.000000,31.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,48.950000
1772555124.588119,0,0.000000,30.620000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,48.970000
1772555124.588119,0,0.000000,29.810000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,48.970000
1772555124.588119,0,0.000000,28.820000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.150000,8.000000,49.000000
1772555124.619444,0,0.000000,27.900000,0.000000,0.020000,0.000000,0.000000,0.000000,0.020000,8.000000,49.000000
1772555124.658281,0,0.000000,26.750000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.020000,8.000000,49.020000
1772555124.682589,0,0.000000,25.590000,0.000000,0.020000,0.000000,0.000000,0.000000,0.020000,8.000000,49.040000
1772555124.698378,0,0.000000,24.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,49.060000
1772555124.698378,0,0.000000,23.900000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,49.060000
1772555124.714019,0,0.000000,23.760000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,49.090000
1772555124.729715,0,0.000000,24.840000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,49.110000
1772555124.729715,0,0.000000,25.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.130000
1772555124.745426,0,0.000000,26.890000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.150000
1772555124.761284,0,0.000000,28.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.150000
1772555124.776932,0,0.000000,28.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,49.180000
1772555124.792625,0,0.000000,29.440000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.180000
1772555124.808325,0,0.000000,29.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,49.200000
1772555124.839928,0,0.000000,29.880000,0.000000,0.070000,0.000000,0.000000,0.000000,0.020000,8.000000,49.220000
1772555124.855747,0,0.000000,29.810000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,49.240000
1772555124.858481,0,0.000000,29.500000,0.000000,0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,49.250000
1772555124.890137,0,0.000000,29.180000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.270000
1772555124.902981,0,0.000000,28.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.270000
1772555124.918613,0,0.000000,28.070000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.270000,8.000000,49.290000
1772555124.950306,0,0.000000,27.500000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.020000,8.000000,49.310000
1772555125.013237,0,0.000000,27.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,49.330000
1772555125.044958,0,0.000000,27.060000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.150000,8.000000,49.340000
1772555125.044958,0,0.000000,27.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,49.360000
1772555125.044958,0,0.000000,28.620000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.020000,8.000000,49.380000
1772555125.060727,0,0.000000,29.930000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.020000,8.000000,49.430000
1772555125.076640,0,0.000000,30.070000,0.000000,0.070000,0.000000,0.000000,0.000000,0.150000,8.000000,49.450000
1772555125.076640,0,0.000000,30.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.470000
1772555125.108713,0,0.000000,30.130000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270000,8.000000,49.490000
1772555125.140027,0,0.000000,30.390000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.500000
1772555125.187718,0,0.000000,31.140000,0.000000,0.010000,0.000000,0.000000,0.000000,0.380000,8.000000,49.520000
1772555125.203761,0,0.000000,32.340000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.020000,8.000000,49.540000
1772555125.219413,0,0.000000,32.500000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.270000,8.000000,49.540000
1772555125.235125,0,0.000000,32.490000,0.000000,0.070000,0.000000,0.000000,0.000000,0.020000,8.000000,49.560000
1772555125.258788,0,0.000000,32.520000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,49.610000
1772555125.258788,0,0.000000,32.500000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,49.630000
1772555125.258788,0,0.000000,32.490000,0.000000,0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,49.630000
1772555125.266707,0,0.000000,32.490000,0.000000,0.030000,0.000000,0.000000,0.000000,0.020000,8.000000,49.650000
1772555125.266707,0,0.000000,32.500000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,49.660000
1772555125.282715,0,0.000000,32.500000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,49.680000
1772555125.314222,0,0.000000,32.470000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.270000,8.000000,49.700000
1772555125.329957,0,0.000000,32.470000,0.000000,-0.030000,0.000000,0.000000,0.000000,0.150000,8.000000,49.720000
1772555125.358857,0,0.000000,32.490000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,49.720000
1772555125.358857,0,0.000000,32.490000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,49.750000
1772555125.358857,0,0.000000,32.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150000,8.000000,49.750000
1772555125.377022,0,0.000000,32.470000,0.000000,-0.050000,0.000000,0.000000,0.000000,0.020000,8.000000,49.770000
1772555125.402479,0,0.000000,32.490000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,49.790000
1772555125.402479,0,0.000000,32.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380000,8.000000,49.810000
1772555125.424450,0,0.000000,32.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,8.000000,49.810000
1772555125.424450,0,0.000000,32.500000,0.000000,0.050000,0.000000,0.000000,0.000000,0.270000,8.000000,49.840000
1772555125.440114,0,0.000000,32.490000,0.000000,0.090000,0.000000,0.000000,0.000000,0.020000,8.000000,49.840000
1772555125.458776,0,0.000000,32.500000,0.000000,-0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,49.860000
1772555125.458776,0,0.000000,32.500000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,49.880000
1772555125.487801,0,0.000000,32.490000,0.000000,0.050000,0.000000,0.000000,0.000000,0.150000,8.000000,49.900000
1772555125.519751,0,0.000000,32.500000,0.000000,-0.010000,0.000000,0.000000,0.000000,0.020000,8.000000,49.900000
1772555125.535412,0,0.000000,32.470000,0.000000,0.020000,0.000000,0.000000,0.000000,0.500000,8.000000,49.930000
1772555125.535412,0,0.000000,32.490000,0.000000,-0.070000,0.000000,0.000000,0.000000,0.020000,8.000000,49.930000
1772555125.558830,0,0.000000,32.490000,0.000000,0.030000,0.000000,0.000000,0.000000,0.020000,8.000000,49.950000
1772555125.582410,0,0.000000,32.500000,0.000000,0.020000,0.000000,0.000000,0.000000,0.150000,8.000000,49.970000
1772555125.582410,0,0.000000,32.520000,0.000000,0.010000,0.000000,0.000000,0.000000,0.150000,8.000000,49.990000
1772555125.614131,0,0.000000,32.470000,0.000000,0.020000,0.000000,0.000000,0.000000,0.020000,8.000000,50.000000
