epoch,mark,Unused,Ankused,Unused,Toe FSR (R),Heel FSR (R),Channel 8,Exoskeleton time (seconds),Battery Level (Volts),???
1770067805.378544,0,0.000000,4.670000,0.000000,0.140000,0.000000,0.000000,0.000000,0.010000,8.000000,40.860000
1770067805.394305,0,0.000000,6.780000,0.000000,0.100000,0.000000,0.000000,0.000000,0.010000,8.000000,40.880000
1770067805.425835,0,0.000000,9.480000,0.000000,0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,40.900000
1770067805.425835,0,0.000000,12.560000,0.000000,0.120000,0.000000,0.000000,0.000000,0.000000,8.000000,40.900000
1770067805.425835,0,0.000000,15.720000,0.000000,0.120000,0.000000,0.000000,0.000000,0.000000,8.000000,40.930000
1770067805.473381,0,0.000000,19.070000,0.000000,0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,40.930000
1770067805.473381,0,0.000000,22.520000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,8.000000,40.950000
1770067805.473381,0,0.000000,25.320000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,8.000000,40.970000
1770067805.527505,0,0.000000,28.750000,0.000000,0.090000,0.000000,0.000000,0.000000,0.000000,8.000000,40.990000
1770067805.528525,0,0.000000,31.960000,0.000000,0.210000,0.000000,0.000000,0.000000,0.000000,8.000000,41.000000
1770067805.529549,0,0.000000,35.240000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,41.020000
1770067805.529549,0,0.000000,38.330000,0.000000,0.180000,0.000000,0.000000,0.000000,0.000000,8.000000,41.020000
1770067805.568572,0,0.000000,41.650000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,41.040000
1770067805.568572,0,0.000000,44.660000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,41.060000
1770067805.625423,0,0.000000,47.630000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,41.080000
1770067805.631388,0,0.000000,50.310000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,8.000000,41.090000
1770067805.631388,0,0.000000,53.000000,0.000000,0.050000,0.000000,0.000000,0.000000,0.000000,8.000000,41.110000
1770067805.631388,0,0.000000,55.610000,0.000000,0.210000,0.000000,0.000000,0.000000,0.000000,8.000000,41.130000
1770067805.647112,0,0.000000,57.970000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,41.130000
1770067805.678977,0,0.000000,60.470000,0.000000,0.110000,0.000000,0.000000,0.000000,0.000000,8.000000,41.150000
1770067805.695096,0,0.000000,62.740000,0.000000,0.170000,0.000000,0.000000,0.000000,0.000000,8.000000,41.160000
1770067805.695096,0,0.000000,64.660000,0.000000,0.120000,0.000000,0.000000,0.000000,0.000000,8.000000,41.180000
1770067805.726712,0,0.000000,66.080000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,41.200000
1770067805.763138,0,0.000000,67.310000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,8.000000,41.220000
1770067805.764167,0,0.000000,68.190000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,41.220000
1770067805.789959,0,0.000000,68.610000,0.000000,0.180000,0.000000,0.000000,0.000000,0.000000,8.000000,41.250000
1770067805.805678,0,0.000000,68.950000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,41.250000
1770067805.821342,0,0.000000,69.160000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,41.270000
1770067805.837407,0,0.000000,69.330000,0.000000,0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,41.290000
1770067805.876229,0,0.000000,69.540000,0.000000,0.140000,0.000000,0.000000,0.000000,0.000000,8.000000,41.310000
1770067805.876229,0,0.000000,69.870000,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000,8.000000,41.310000
1770067805.876229,0,0.000000,70.260000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,8.000000,41.340000
